ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission,swap,profit,equity,margin_level,close_reason
2941134989,2026-07-09T08:58:17,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.877,4108.661,,,,,-0.22,-0.8,,so
2941134988,2026-07-09T08:58:17,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.877,4108.661,,,,,-0.22,-0.8,,so
2941135549,2026-07-09T08:58:27,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.943,4108.661,,,,,-0.28,-0.8,,so
2941135548,2026-07-09T08:58:27,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.943,4108.661,,,,,-0.28,-0.8,,so
2941135547,2026-07-09T08:58:27,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.943,4108.661,,,,,-0.28,-0.8,,so
2941135546,2026-07-09T08:58:27,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.943,4108.661,,,,,-0.28,-0.8,,so
2941135545,2026-07-09T08:58:27,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.943,4108.661,,,,,-0.28,-0.8,,so
2941135294,2026-07-09T08:58:22,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.942,4108.661,,,,,-0.28,-0.8,,so
2941135295,2026-07-09T08:58:22,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.942,4108.661,,,,,-0.28,-0.8,,so
2941135373,2026-07-09T08:58:24,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.99,4108.661,,,,,-0.33,-0.8,,so
2941135374,2026-07-09T08:58:24,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.99,4108.661,,,,,-0.33,-0.8,,so
2941135372,2026-07-09T08:58:24,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.99,4108.661,,,,,-0.33,-0.8,,so
2941135342,2026-07-09T08:58:23,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.99,4108.661,,,,,-0.33,-0.8,,so
2941135341,2026-07-09T08:58:23,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.99,4108.661,,,,,-0.33,-0.8,,so
2941135340,2026-07-09T08:58:23,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.99,4108.661,,,,,-0.33,-0.8,,so
2941135075,2026-07-09T08:58:18,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.999,4108.661,,,,,-0.34,-0.8,,so
2941135063,2026-07-09T08:58:18,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.999,4108.661,,,,,-0.34,-0.8,,so
2941135062,2026-07-09T08:58:18,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.999,4108.661,,,,,-0.34,-0.8,,so
2941135061,2026-07-09T08:58:18,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.999,4108.661,,,,,-0.34,-0.8,,so
2941135059,2026-07-09T08:58:18,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.999,4108.661,,,,,-0.34,-0.8,,so
2941135060,2026-07-09T08:58:18,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4108.999,4108.661,,,,,-0.34,-0.8,,so
2941135637,2026-07-09T08:58:28,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4109.034,4108.661,,,,,-0.37,-0.8,,so
2941135636,2026-07-09T08:58:28,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4109.034,4108.661,,,,,-0.37,-0.8,,so
2941135767,2026-07-09T08:58:31,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4109.077,4108.661,,,,,-0.42,-0.8,,so
2941135754,2026-07-09T08:58:31,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4109.078,4108.661,,,,,-0.42,-0.8,,so
2941135749,2026-07-09T08:58:31,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4109.078,4108.661,,,,,-0.42,-0.8,,so
2941135739,2026-07-09T08:58:31,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4109.078,4108.661,,,,,-0.42,-0.8,,so
2941135730,2026-07-09T08:58:30,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4109.078,4108.661,,,,,-0.42,-0.8,,so
2941135731,2026-07-09T08:58:30,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4109.078,4108.661,,,,,-0.42,-0.8,,so
2941135223,2026-07-09T08:58:21,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4109.125,4108.661,,,,,-0.47,-0.8,,so
2941135221,2026-07-09T08:58:21,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4109.125,4108.661,,,,,-0.47,-0.8,,so
2941135220,2026-07-09T08:58:21,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4109.125,4108.661,,,,,-0.47,-0.8,,so
2941135601,2026-07-09T08:58:27,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4109.168,4108.661,,,,,-0.51,-0.8,,so
2941135600,2026-07-09T08:58:27,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4109.168,4108.661,,,,,-0.51,-0.8,,so
2941135599,2026-07-09T08:58:27,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4109.168,4108.661,,,,,-0.51,-0.8,,so
2941135598,2026-07-09T08:58:27,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4109.168,4108.661,,,,,-0.51,-0.8,,so
2941135556,2026-07-09T08:58:27,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4109.168,4108.661,,,,,-0.51,-0.8,,so
2941135283,2026-07-09T08:58:22,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4109.178,4108.661,,,,,-0.52,-0.8,,so
2941135274,2026-07-09T08:58:22,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4109.178,4108.661,,,,,-0.52,-0.8,,so
2941135266,2026-07-09T08:58:22,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4109.178,4108.661,,,,,-0.52,-0.8,,so
2941135265,2026-07-09T08:58:22,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4109.178,4108.72,,,,,-0.46,3.2800000000000002,,so
2941135238,2026-07-09T08:58:21,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4109.178,4108.66,,,,,-0.52,-0.86,,so
2941135626,2026-07-09T08:58:28,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4109.195,4108.66,,,,,-0.54,-0.86,,so
2941135403,2026-07-09T08:58:24,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4109.2,4108.66,,,,,-0.54,-0.86,,so
2941135402,2026-07-09T08:58:24,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4109.2,4108.544,,,,,-0.66,-9.5,,so
2941135401,2026-07-09T08:58:24,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4109.2,4108.544,,,,,-0.66,-9.5,,so
2941135679,2026-07-09T08:58:30,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4109.264,4108.544,,,,,-0.72,-9.5,,so
2941135667,2026-07-09T08:58:29,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4109.264,4108.544,,,,,-0.72,-9.5,,so
2941135432,2026-07-09T08:58:25,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4109.358,4108.544,,,,,-0.82,-9.5,,so
2941135416,2026-07-09T08:58:25,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4109.358,4108.544,,,,,-0.82,-9.5,,so
2941135409,2026-07-09T08:58:25,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4109.358,4108.544,,,,,-0.82,-9.5,,so
2941135701,2026-07-09T08:58:30,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4109.382,4108.544,,,,,-0.84,-9.5,,so
2941135690,2026-07-09T08:58:30,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4109.382,4108.544,,,,,-0.84,-9.5,,so
2941135617,2026-07-09T08:58:28,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4109.385,4108.544,,,,,-0.85,-9.5,,so
2941135616,2026-07-09T08:58:28,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4109.385,4108.494,,,,,-0.9,-13.6,,so
2941135836,2026-07-09T08:58:33,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4109.593,4108.494,,,,,-1.1,-13.6,,so
2941135834,2026-07-09T08:58:33,2026-07-09T08:59:45,buy,0.01,0.01,XAUUSDm,4109.593,4108.494,,,,,-1.1,-1,,so
2941093355,2026-07-09T08:47:32,2026-07-09T08:57:31,buy,0.01,0.01,XAUUSDm,4108.395,4108.423,,,,,0.02,-13.72,,so
2941091881,2026-07-09T08:47:27,2026-07-09T08:57:31,buy,0.01,0.01,XAUUSDm,4108.526,4108.423,,,,,-0.11,-13.72,,so
2941092611,2026-07-09T08:47:29,2026-07-09T08:57:31,buy,0.01,0.01,XAUUSDm,4108.549,4108.423,,,,,-0.13,-13.72,,so
2941092595,2026-07-09T08:47:29,2026-07-09T08:57:31,buy,0.01,0.01,XAUUSDm,4108.549,4108.423,,,,,-0.13,-13.72,,so
2941093455,2026-07-09T08:47:33,2026-07-09T08:57:31,buy,0.01,0.01,XAUUSDm,4108.891,4108.423,,,,,-0.47,-13.72,,so
